Nimi	ISIN	Valuutta	Näkemys	Kohde-etuus	Vipu	Korkea riski		Osto	Myynti	Vaihto
"BULL NQ100 X8 NORDNET FI99"	"DE000JZ7PQ90"	"EUR"	"Long"	"NASDAQ 100 Index"	"8"	Ei	"0,04"	"255,51"	"255,61"	"0"
"BULL NQ100 X9 NORDNET FI26"	"DE000JU19NG4"	"EUR"	"Long"	"NASDAQ 100 Index"	"9"	Ei	"0,07"	"15,26"	"15,27"	"0"
"BULL NQ100 X9 NORDNET FI35"	"DE000JU19NE9"	"EUR"	"Long"	"NASDAQ 100 Index"	"9"	Ei	"0,1"	"10,18"	"10,19"	"0"
"BULL NQ100 X9 NORDNET FI46"	"DE000JU19NF6"	"EUR"	"Long"	"NASDAQ 100 Index"	"9"	Ei	"0,05"	"20,35"	"20,36"	"0"
"BULL NQ100 X9 NORDNET FI48"	"DE000JU19NC3"	"EUR"	"Long"	"NASDAQ 100 Index"	"9"	Ei	"0,04"	"101,68"	"101,72"	"0"
"BULL NQ100 X9 NORDNET FI65"	"DE000JU19NB5"	"EUR"	"Long"	"NASDAQ 100 Index"	"9"	Ei	"0,2"	"5,09"	"5,1"	"0"
"BULL NQ100 X9 NORDNET FI84"	"DE000JZ7PQG5"	"EUR"	"Long"	"NASDAQ 100 Index"	"9"	Ei	"0,05"	"62,94"	"62,97"	"0"
"BULL NQ100 X9 NORDNET FI86"	"DE000JZ6ZM02"	"EUR"	"Long"	"NASDAQ 100 Index"	"9"	Ei	"0,04"	"251,42"	"251,52"	"0"
"BULL NQ100 X10 NORDNET FI5"	"DE000JU2BC98"	"EUR"	"Long"	"NASDAQ 100 Index"	"10"	Kyllä	"0,05"	"96,06"	"96,11"	"0"
"BULL NQ100 X10 NORDNET FI16"	"DE000JU2BC80"	"EUR"	"Long"	"NASDAQ 100 Index"	"10"	Kyllä	"0,05"	"19,23"	"19,24"	"0"
"BULL NQ100 X10 NORDNET FI52"	"DE000JU2BC64"	"EUR"	"Long"	"NASDAQ 100 Index"	"10"	Kyllä	"0,21"	"4,81"	"4,82"	"0"
"BULL NQ100 X10 NORDNET FI62"	"DE000JU2BCA4"	"EUR"	"Long"	"NASDAQ 100 Index"	"10"	Kyllä	"0,1"	"9,61"	"9,62"	"0"
"BULL NQ100 X10 NORDNET FI66"	"DE000JU2BCD8"	"EUR"	"Long"	"NASDAQ 100 Index"	"10"	Kyllä	"0,07"	"14,42"	"14,43"	"0"
"BULL NQ100 X10 NORDNET FI79"	"DE000JZ6ZM93"	"EUR"	"Long"	"NASDAQ 100 Index"	"10"	Kyllä	"0,05"	"61,2"	"61,23"	"0"
"BULL NQ100 X10 NORDNET FI90"	"DE000JZ7VF53"	"EUR"	"Long"	"NASDAQ 100 Index"	"10"	Kyllä	"0,04"	"244,42"	"244,52"	"0"
"BULL NQ100 X12 NORDNET FI29"	"DE000JU2CJC3"	"EUR"	"Long"	"NASDAQ 100 Index"	"12"	Kyllä	"0,06"	"83,86"	"83,91"	"0"
"BULL NQ100 X12 NORDNET FI40"	"DE000JU2BCM9"	"EUR"	"Long"	"NASDAQ 100 Index"	"12"	Kyllä	"0,12"	"8,4"	"8,41"	"0"
"BULL NQ100 X12 NORDNET FI43"	"DE000JU2BCJ5"	"EUR"	"Long"	"NASDAQ 100 Index"	"12"	Kyllä	"0,06"	"16,79"	"16,8"	"0"
"BULL NQ100 X12 NORDNET FI50"	"DE000JU2BCE6"	"EUR"	"Long"	"NASDAQ 100 Index"	"12"	Kyllä	"0,08"	"12,59"	"12,6"	"0"
"BULL NQ100 X12 NORDNET FI57"	"DE000JU2CJB5"	"EUR"	"Long"	"NASDAQ 100 Index"	"12"	Kyllä	"0,24"	"4,2"	"4,21"	"0"
"BULL NQ100 X12 NORDNET FI82"	"DE000JZ63P23"	"EUR"	"Long"	"NASDAQ 100 Index"	"12"	Kyllä	"0,07"	"226,41"	"226,56"	"0"
"BULL NQ100 X12 NORDNET FI103"	"DE000JZ6V426"	"EUR"	"Long"	"NASDAQ 100 Index"	"12"	Kyllä	"0,05"	"56,7"	"56,73"	"0"
"BULL NQ100 X15 NORDNET FI9"	"DE000JU2CJF6"	"EUR"	"Long"	"NASDAQ 100 Index"	"15"	Kyllä	"0,32"	"3,09"	"3,1"	"0"
"BULL NQ100 X15 NORDNET FI21"	"DE000JU2CJK6"	"EUR"	"Long"	"NASDAQ 100 Index"	"15"	Kyllä	"0,06"	"61,77"	"61,81"	"0"
"BULL NQ100 X15 NORDNET FI45"	"DE000JU2CJM2"	"EUR"	"Long"	"NASDAQ 100 Index"	"15"	Kyllä	"0,11"	"9,28"	"9,29"	"0"
"BULL NQ100 X15 NORDNET FI55"	"DE000JU2CJL4"	"EUR"	"Long"	"NASDAQ 100 Index"	"15"	Kyllä	"0,16"	"6,18"	"6,19"	"0"
"BULL NQ100 X15 NORDNET FI64"	"DE000JU2CJG4"	"EUR"	"Long"	"NASDAQ 100 Index"	"15"	Kyllä	"0,08"	"12,37"	"12,38"	"0"
"BULL NQ100 X15 NORDNET FI78"	"DE000JZ7H7D7"	"EUR"	"Long"	"NASDAQ 100 Index"	"15"	Kyllä	"0,07"	"92,07"	"92,13"	"0"
"BULL NQ100 X15 NORDNET FI92"	"DE000JZ7VEH7"	"EUR"	"Long"	"NASDAQ 100 Index"	"15"	Kyllä	"0,07"	"46,1"	"46,13"	"0"
"BULL NQ100 X15 NORDNET FI104"	"DE000JZ7WB98"	"EUR"	"Long"	"NASDAQ 100 Index"	"15"	Kyllä	"0,08"	"184"	"184,15"	"0"
"BULL NQ100 X15 NORDNET FI108"	"DE000JZ7PP75"	"EUR"	"Long"	"NASDAQ 100 Index"	"15"	Kyllä	"0,07"	"459,8"	"460,1"	"0"
"BULL NQ100 X18 NORDNET FI13"	"DE000JU2CJV3"	"EUR"	"Long"	"NASDAQ 100 Index"	"18"	Kyllä	"0,25"	"4,06"	"4,07"	"0"
"BULL NQ100 X18 NORDNET FI19"	"DE000JU2E8F9"	"EUR"	"Long"	"NASDAQ 100 Index"	"18"	Kyllä	"0,49"	"2,03"	"2,04"	"0"
"BULL NQ100 X18 NORDNET FI22"	"DE000JU2CJQ3"	"EUR"	"Long"	"NASDAQ 100 Index"	"18"	Kyllä	"0,16"	"6,1"	"6,11"	"0"
"BULL NQ100 X18 NORDNET FI47"	"DE000JU2E8G7"	"EUR"	"Long"	"NASDAQ 100 Index"	"18"	Kyllä	"0,12"	"8,13"	"8,14"	"0"
"BULL NQ100 X18 NORDNET FI51"	"DE000JU2CJS9"	"EUR"	"Long"	"NASDAQ 100 Index"	"18"	Kyllä	"0,07"	"40,64"	"40,67"	"0"
"BULL NQ100 X18 NORDNET FI71"	"DE000JZ6V459"	"EUR"	"Long"	"NASDAQ 100 Index"	"18"	Kyllä	"0,09"	"33,85"	"33,88"	"0"
"BULL NQ100 X18 NORDNET FI91"	"DE000JZ6V3U3"	"EUR"	"Long"	"NASDAQ 100 Index"	"18"	Kyllä	"0,09"	"67,59"	"67,65"	"0"
"BULL NQ100 X18 NORDNET FI96"	"DE000JZ7WB15"	"EUR"	"Long"	"NASDAQ 100 Index"	"18"	Kyllä	"0,09"	"337,39"	"337,69"	"0"
"BULL NQ100 X18 NORDNET FI98"	"DE000JZ7QRU2"	"EUR"	"Long"	"NASDAQ 100 Index"	"18"	Kyllä	"0,07"	"135,04"	"135,14"	"0"
"BULL NQ100 X20 NORDNET FI3"	"DE000JU2E8J1"	"EUR"	"Long"	"NASDAQ 100 Index"	"20"	Kyllä	"0,23"	"4,43"	"4,44"	"0"
"BULL NQ100 X20 NORDNET FI10"	"DE000JU2E8R4"	"EUR"	"Long"	"NASDAQ 100 Index"	"20"	Kyllä	"0,09"	"22,1"	"22,12"	"0"
"BULL NQ100 X20 NORDNET FI24"	"DE000JU2E8M5"	"EUR"	"Long"	"NASDAQ 100 Index"	"20"	Kyllä	"0,45"	"2,21"	"2,22"	"0"
"BULL NQ100 X20 NORDNET FI38"	"DE000JU2E8P8"	"EUR"	"Long"	"NASDAQ 100 Index"	"20"	Kyllä	"0,3"	"3,31"	"3,32"	"0"
"BULL NQ100 X20 NORDNET FI44"	"DE000JU2E8T0"	"EUR"	"Long"	"NASDAQ 100 Index"	"20"	Kyllä	"0,89"	"1,11"	"1,12"	"0"
"BULL NQ100 X20 NORDNET FI85"	"DE000JZ63Y71"	"EUR"	"Long"	"NASDAQ 100 Index"	"20"	Kyllä	"0,1"	"39,98"	"40,02"	"0"
"BULL NQ100 X20 NORDNET FI89"	"DE000JZ7WBG3"	"EUR"	"Long"	"NASDAQ 100 Index"	"20"	Kyllä	"0,1"	"199,35"	"199,55"	"0"
"BULL NQ100 X20 NORDNET FI93"	"DE000JZ6TA12"	"EUR"	"Long"	"NASDAQ 100 Index"	"20"	Kyllä	"0,09"	"79,82"	"79,89"	"0"
